boolQ_sae,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.645,0.58,0.7051249999999999,0.61,0.5,0.71
20,0.645,0.58,0.715,0.61,0.52,0.71
30,0.645,0.575,0.715,0.61,0.51,0.71
40,0.645,0.575,0.7101249999999999,0.61,0.52,0.6902499999999997
50,0.645,0.575,0.705,0.61,0.51,0.71
60,0.645,0.575,0.715,0.61,0.52,0.7
70,0.645,0.58,0.715,0.61,0.52,0.7
80,0.645,0.585,0.71,0.61,0.52,0.7
90,0.645,0.58,0.71,0.61,0.51,0.7
100,0.645,0.585,0.705,0.61,0.51975,0.7
110,0.645,0.575,0.71,0.61,0.50975,0.7
120,0.645,0.5798749999999999,0.71,0.61,0.52,0.7
130,0.645,0.58,0.71,0.61,0.51,0.7
140,0.645,0.58,0.71,0.61,0.51,0.7
150,0.645,0.585,0.71,0.61,0.52,0.71
160,0.645,0.58,0.71,0.61,0.51,0.71
170,0.645,0.58,0.7051249999999999,0.61,0.51,0.7002499999999997
180,0.645,0.57,0.71,0.61,0.52,0.7
190,0.645,0.58,0.71,0.61,0.51,0.71
200,0.645,0.58,0.71,0.61,0.52,0.7
210,0.645,0.575,0.71,0.61,0.51975,0.71
220,0.645,0.58,0.71,0.61,0.51,0.7002499999999997
boolQ_aave,,,,,,
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.6134020618556701,0.5462628865979381,0.6804123711340206,0.6020408163265306,0.5,0.6938775510204082
20,0.6237113402061856,0.5515463917525774,0.6855670103092784,0.5816326530612245,0.47959183673469385,0.673469387755102
30,0.6134020618556701,0.5514175257731959,0.6855670103092784,0.5714285714285714,0.47959183673469385,0.673469387755102
40,0.6185567010309279,0.5567010309278351,0.6907216494845361,0.5816326530612245,0.4897959183673469,0.673469387755102
50,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5,0.7040816326530612
60,0.6134020618556701,0.5514175257731959,0.680541237113402,0.6020408163265306,0.5,0.7040816326530612
70,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.5816326530612245,0.47959183673469385,0.6836734693877551
80,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.5816326530612245,0.4897959183673469,0.673469387755102
90,0.6134020618556701,0.5412371134020618,0.6855670103092784,0.5816326530612245,0.4895408163265306,0.673469387755102
100,0.6134020618556701,0.5412371134020618,0.6804123711340206,0.6020408163265306,0.5,0.6938775510204082
110,0.6134020618556701,0.5412371134020618,0.6804123711340206,0.5816326530612245,0.47959183673469385,0.6836734693877551
120,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.6020408163265306,0.5102040816326531,0.6938775510204082
130,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.5918367346938775,0.4897959183673469,0.6938775510204082
140,0.6185567010309279,0.5463917525773195,0.6855670103092784,0.5918367346938775,0.5,0.6836734693877551
150,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5102040816326531,0.6938775510204082
