boolQ_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.47,0.4,0.535,0.52,0.43,0.62
20,0.64,0.57,0.705,0.61,0.50975,0.71
30,0.64,0.5748749999999999,0.7051249999999999,0.61,0.52,0.7
40,0.64,0.575,0.7051249999999999,0.61,0.51,0.7
50,0.64,0.57,0.705,0.61,0.51975,0.7
60,0.64,0.5798749999999999,0.705,0.61,0.52,0.71
70,0.64,0.58,0.705,0.61,0.51,0.71
80,0.64,0.57,0.705,0.61,0.51,0.71
90,0.64,0.575,0.7,0.61,0.51,0.71
100,0.64,0.575,0.705,0.61,0.51,0.7
110,0.64,0.57,0.705,0.61,0.51,0.7
120,0.64,0.575,0.705,0.61,0.51975,0.71
130,0.64,0.57,0.71,0.61,0.51,0.7002499999999997
140,0.64,0.575,0.7051249999999999,0.61,0.5,0.71
150,0.64,0.575,0.71,0.61,0.51,0.7002499999999997
160,0.64,0.5698749999999999,0.71,0.61,0.51,0.7
170,0.64,0.5798749999999999,0.705,0.61,0.51975,0.71
180,0.64,0.575,0.7001249999999999,0.61,0.52,0.7
190,0.64,0.575,0.705,0.61,0.52,0.72
200,0.645,0.58,0.715,0.61,0.51,0.7
210,0.645,0.58,0.71,0.61,0.51,0.71
220,0.64,0.575,0.705,0.61,0.51,0.7

boolQ_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.6134020618556701,0.5360824742268041,0.6804123711340206,0.6020408163265306,0.5,0.7040816326530612
20,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5102040816326531,0.6938775510204082
30,0.6134020618556701,0.5463917525773195,0.6855670103092784,0.6020408163265306,0.5,0.6938775510204082
40,0.6082474226804123,0.5412371134020618,0.6752577319587629,0.6020408163265306,0.5102040816326531,0.7040816326530612
50,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.6020408163265306,0.5,0.7040816326530612
60,0.6185567010309279,0.5515463917525774,0.680541237113402,0.6020408163265306,0.5,0.6938775510204082
70,0.6082474226804123,0.5360824742268041,0.6752577319587629,0.6020408163265306,0.5,0.7040816326530612
80,0.6185567010309279,0.5515463917525774,0.6855670103092784,0.6020408163265306,0.5,0.7040816326530612
90,0.6185567010309279,0.5463917525773195,0.6855670103092784,0.6020408163265306,0.5,0.6938775510204082
100,0.6237113402061856,0.5565721649484536,0.6855670103092784,0.6020408163265306,0.5,0.6938775510204082
110,0.6237113402061856,0.5567010309278351,0.6960051546391751,0.6020408163265306,0.5102040816326531,0.6938775510204082
120,0.6030927835051546,0.5309278350515464,0.6752577319587629,0.6224489795918368,0.5306122448979592,0.7142857142857143
130,0.6030927835051546,0.5309278350515464,0.6701030927835051,0.6224489795918368,0.5306122448979592,0.7142857142857143
140,0.6288659793814433,0.5618556701030928,0.6958762886597938,0.6122448979591837,0.5102040816326531,0.7040816326530612
150,0.5876288659793815,0.520618556701031,0.654639175257732,0.6224489795918368,0.5303571428571429,0.7142857142857143
160,0.5876288659793815,0.5204896907216495,0.654639175257732,0.6020408163265306,0.5,0.7040816326530612
170,0.5927835051546392,0.5257731958762887,0.6597938144329897,0.6224489795918368,0.5303571428571429,0.7142857142857143
180,0.6288659793814433,0.5567010309278351,0.6907216494845361,0.6020408163265306,0.5,0.6938775510204082
190,0.6134020618556701,0.5462628865979381,0.6855670103092784,0.5918367346938775,0.4997448979591837,0.6836734693877551
200,0.6030927835051546,0.5257731958762887,0.6752577319587629,0.6020408163265306,0.5,0.6938775510204082
210,0.6134020618556701,0.5412371134020618,0.6804123711340206,0.6020408163265306,0.5,0.7040816326530612

sst2_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.565,0.5,0.63,0.53,0.43975000000000003,0.62
20,0.525,0.46,0.59,0.5,0.4,0.6
30,0.615,0.55,0.680125,0.56,0.46975,0.66
40,0.62,0.555,0.685,0.54,0.44,0.63
50,0.59,0.52,0.655,0.53,0.43,0.63
60,0.61,0.539875,0.675,0.54,0.44975000000000004,0.64
70,0.625,0.56,0.685,0.53,0.43,0.6202499999999997
80,0.64,0.565,0.705,0.58,0.48975,0.6702499999999998
90,0.61,0.549875,0.68,0.54,0.45,0.64
100,0.655,0.585,0.715,0.58,0.48975,0.67
110,0.655,0.585,0.72,0.62,0.52,0.73
120,0.675,0.605,0.74,0.6,0.5,0.69
130,0.685,0.62,0.745,0.67,0.57,0.76
140,0.645,0.58,0.715,0.66,0.57,0.76
150,0.675,0.61,0.745,0.66,0.56,0.76
160,0.705,0.645,0.765,0.65,0.56,0.75
170,0.725,0.66,0.785,0.71,0.61,0.8
180,0.73,0.67,0.785,0.71,0.62,0.8
190,0.75,0.685,0.805,0.74,0.65,0.82
200,0.775,0.7198749999999999,0.835,0.72,0.63,0.81
210,0.78,0.725,0.835,0.76,0.67,0.84
220,0.79,0.73,0.845,0.77,0.69,0.85

sst2_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.7437185929648241,0.6733668341708543,0.8040201005025126,0.8163265306122449,0.7346938775510204,0.8877551020408163
20,0.7587939698492462,0.6934673366834171,0.8190954773869347,0.8163265306122449,0.7346938775510204,0.8877551020408163
30,0.7386934673366834,0.6834170854271356,0.7989949748743719,0.7959183673469388,0.7142857142857143,0.8673469387755102
40,0.7638190954773869,0.6984924623115578,0.8241206030150754,0.8469387755102041,0.7755102040816326,0.9081632653061225
50,0.7688442211055276,0.7085427135678392,0.8241206030150754,0.8061224489795918,0.7244897959183674,0.8775510204081632
60,0.7688442211055276,0.7085427135678392,0.8241206030150754,0.7959183673469388,0.7142857142857143,0.8775510204081632
70,0.7638190954773869,0.703391959798995,0.8241206030150754,0.8163265306122449,0.7446428571428572,0.8877551020408163
80,0.7638190954773869,0.7085427135678392,0.8190954773869347,0.7857142857142857,0.7040816326530612,0.8673469387755102
90,0.7587939698492462,0.7035175879396985,0.8190954773869347,0.8367346938775511,0.7551020408163265,0.9081632653061225
100,0.7788944723618091,0.7236180904522613,0.8341708542713567,0.8367346938775511,0.7653061224489796,0.9081632653061225
110,0.7788944723618091,0.7236180904522613,0.8341708542713567,0.8367346938775511,0.7653061224489796,0.8979591836734694
120,0.7738693467336684,0.7185929648241206,0.8341708542713567,0.8367346938775511,0.7653061224489796,0.9081632653061225
130,0.7788944723618091,0.7185929648241206,0.8341708542713567,0.8367346938775511,0.7653061224489796,0.8979591836734694
140,0.7738693467336684,0.7134422110552764,0.8241206030150754,0.8673469387755102,0.7959183673469388,0.9285714285714286
150,0.7889447236180904,0.7286432160804021,0.8442211055276382,0.8469387755102041,0.7752551020408163,0.9183673469387755
160,0.7688442211055276,0.7085427135678392,0.8291457286432161,0.8571428571428571,0.7857142857142857,0.9285714285714286
170,0.7688442211055276,0.7084170854271357,0.8291457286432161,0.8469387755102041,0.7755102040816326,0.9183673469387755
180,0.7939698492462312,0.7386934673366834,0.8492462311557789,0.8367346938775511,0.7551020408163265,0.9081632653061225
190,0.7738693467336684,0.7135678391959799,0.8341708542713567,0.8571428571428571,0.7755102040816326,0.9186224489795917
200,0.7788944723618091,0.7185929648241206,0.8341708542713567,0.8469387755102041,0.7653061224489796,0.9183673469387755
210,0.7839195979899497,0.7236180904522613,0.8442211055276382,0.8469387755102041,0.7755102040816326,0.9081632653061225
220,0.7788944723618091,0.7185929648241206,0.8341708542713567,0.8469387755102041,0.7755102040816326,0.9183673469387755

multirc_sae
Batch,Val Accuracy,Val F1,Val CI Lower,Val CI Upper,Test Accuracy,Test F1,Test CI Lower,Test CI Upper
10,0.445578231292517,0.30823529411764705,0.391156462585034,0.4966836734693877,0.6538461538461539,0.6491754122938531,0.5192307692307693,0.7884615384615384
20,0.5102040816326531,0.5009665707954171,0.45918367346938777,0.5714285714285714,0.6346153846153846,0.499746835443038,0.5,0.7692307692307693
30,0.48299319727891155,0.460524409676952,0.4284863945578231,0.54421768707483,0.6538461538461539,0.59375,0.5192307692307693,0.7884615384615384
40,0.48299319727891155,0.4572747145980083,0.42857142857142855,0.5409013605442177,0.6153846153846154,0.59375,0.4807692307692308,0.75
50,0.5068027210884354,0.49796855679208624,0.445578231292517,0.5612244897959183,0.6346153846153846,0.5247715247715248,0.5,0.7692307692307693
60,0.47959183673469385,0.457754204086553,0.4217687074829932,0.5408163265306123,0.5769230769230769,0.519327731092437,0.4423076923076923,0.7115384615384616
70,0.5102040816326531,0.5035647279549719,0.4557823129251701,0.564625850340136,0.6153846153846154,0.5112781954887218,0.4807692307692308,0.75
80,0.5034013605442177,0.4920236686390532,0.445578231292517,0.5612244897959183,0.6346153846153846,0.5908902691511387,0.5,0.7692307692307693
90,0.5510204081632653,0.5508333333333333,0.4931972789115646,0.608843537414966,0.6538461538461539,0.5384615384615385,0.5379807692307692,0.7884615384615384
100,0.5068027210884354,0.49796855679208624,0.4523809523809524,0.5612244897959183,0.5384615384615384,0.4901960784313726,0.40384615384615385,0.6730769230769231
110,0.5068027210884354,0.49796855679208624,0.4523809523809524,0.5612244897959183,0.5384615384615384,0.4901960784313726,0.40384615384615385,0.6730769230769231
120,0.5340136054421769,0.5311441442490135,0.48299319727891155,0.5884353741496599,0.5769230769230769,0.519327731092437,0.4423076923076923,0.6927884615384611
130,0.5,0.48688662780343595,0.4421768707482993,0.5544217687074829,0.5961538461538461,0.5836828059473884,0.4423076923076923,0.7307692307692307
140,0.5476190476190477,0.5474881670157734,0.4897959183673469,0.6054421768707483,0.6346153846153846,0.5634114007954043,0.5,0.7692307692307693
150,0.5476190476190477,0.5474881670157734,0.4931972789115646,0.608843537414966,0.6346153846153846,0.5634114007954043,0.5,0.7504807692307688
