boolQ_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.385,0.32,0.4501249999999999,0.45,0.35,0.54
20,0.525,0.455,0.6,0.48,0.38,0.58
30,0.595,0.53,0.665,0.57,0.47,0.67
40,0.62,0.55,0.685,0.61,0.52,0.71
50,0.625,0.56,0.685125,0.61,0.52,0.71
60,0.63,0.56,0.695,0.62,0.52,0.71
70,0.62,0.555,0.685,0.62,0.52975,0.71
80,0.6,0.53,0.67,0.6,0.5,0.69
90,0.62,0.554875,0.685,0.61,0.51975,0.7
100,0.635,0.565,0.705,0.61,0.51,0.71
110,0.625,0.565,0.69,0.61,0.51,0.71
120,0.61,0.54,0.68,0.6,0.51,0.7
130,0.61,0.545,0.675125,0.57,0.47,0.67
140,0.6,0.53,0.67,0.57,0.47,0.67
150,0.595,0.53,0.655125,0.56,0.46,0.66
160,0.595,0.53,0.66,0.55,0.45,0.65
170,0.565,0.49,0.63,0.56,0.47,0.65
180,0.575,0.505,0.645,0.56,0.46,0.66
190,0.585,0.52,0.655,0.56,0.46,0.65
200,0.585,0.51,0.655,0.54,0.45,0.64
210,0.59,0.52,0.66,0.57,0.47,0.66
220,0.585,0.519875,0.655,0.52,0.42975,0.6202499999999997

boolQ_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.5618556701030928,0.4896907216494845,0.634020618556701,0.5918367346938775,0.5,0.6836734693877551
20,0.5567010309278351,0.4845360824742268,0.6237113402061856,0.5918367346938775,0.4897959183673469,0.6836734693877551
30,0.5824742268041238,0.5153350515463917,0.654639175257732,0.5612244897959183,0.45918367346938777,0.6530612244897959
40,0.5824742268041238,0.5153350515463917,0.6494845360824743,0.5714285714285714,0.47933673469387755,0.6632653061224489
50,0.5824742268041238,0.5153350515463917,0.654639175257732,0.5612244897959183,0.45918367346938777,0.6632653061224489
60,0.5876288659793815,0.5204896907216495,0.654639175257732,0.5612244897959183,0.45918367346938777,0.6632653061224489
70,0.5824742268041238,0.5153350515463917,0.6494845360824743,0.5714285714285714,0.46938775510204084,0.673469387755102
80,0.5927835051546392,0.520618556701031,0.6649484536082474,0.5816326530612245,0.47959183673469385,0.6737244897959181
90,0.5979381443298969,0.5309278350515464,0.6649484536082474,0.5816326530612245,0.4897959183673469,0.6836734693877551
100,0.5979381443298969,0.5257731958762887,0.6702319587628864,0.6020408163265306,0.5102040816326531,0.6941326530612243
110,0.6082474226804123,0.5412371134020618,0.6701030927835051,0.5816326530612245,0.4895408163265306,0.673469387755102
120,0.5927835051546392,0.5154639175257731,0.6597938144329897,0.6122448979591837,0.5102040816326531,0.7142857142857143
130,0.5876288659793815,0.5154639175257731,0.6597938144329897,0.5714285714285714,0.46938775510204084,0.6632653061224489
140,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5,0.6938775510204082
150,0.6030927835051546,0.5309278350515464,0.6702319587628864,0.5918367346938775,0.4897959183673469,0.6938775510204082
160,0.5824742268041238,0.5154639175257731,0.6494845360824743,0.6020408163265306,0.5,0.7040816326530612
170,0.5979381443298969,0.5257731958762887,0.6597938144329897,0.5816326530612245,0.4895408163265306,0.673469387755102
180,0.6030927835051546,0.5359536082474227,0.6701030927835051,0.6326530612244898,0.5306122448979592,0.7346938775510204
190,0.6030927835051546,0.5309278350515464,0.6650773195876287,0.5714285714285714,0.47959183673469385,0.6632653061224489
200,0.6134020618556701,0.5463917525773195,0.6804123711340206,0.6020408163265306,0.5102040816326531,0.7040816326530612
210,0.6082474226804123,0.5412371134020618,0.6752577319587629,0.5918367346938775,0.4897959183673469,0.6836734693877551

sst2_sae
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.505,0.44,0.575,0.52,0.42975,0.62
20,0.53,0.46,0.6,0.58,0.48,0.68
30,0.545,0.48,0.615,0.61,0.52,0.71
40,0.565,0.495,0.63,0.65,0.56,0.74
50,0.58,0.52,0.65,0.62,0.52,0.72
60,0.64,0.575,0.705,0.67,0.58,0.7602499999999998
70,0.635,0.565,0.6951249999999999,0.67,0.56,0.76
80,0.65,0.585,0.72,0.66,0.57,0.75
90,0.67,0.6048749999999999,0.735,0.7,0.61,0.79
100,0.685,0.62,0.7501249999999999,0.69,0.59,0.7802499999999998
110,0.68,0.615,0.745,0.7,0.61,0.79
120,0.725,0.66,0.785,0.72,0.64,0.81
130,0.755,0.695,0.81,0.74,0.65,0.82
140,0.77,0.71,0.83,0.74,0.65,0.82
150,0.78,0.725,0.8301249999999999,0.76,0.67,0.84
160,0.785,0.725,0.84,0.75,0.66,0.83
170,0.81,0.75,0.865,0.77,0.68975,0.85
180,0.82,0.764875,0.875,0.76,0.68,0.84
190,0.825,0.77,0.875,0.77,0.69,0.85
200,0.825,0.77,0.875,0.78,0.7,0.86
210,0.825,0.775,0.875,0.78,0.69,0.86
220,0.825,0.77,0.875,0.77,0.68,0.85

sst2_aave
Batch,Val Accuracy,Val CI Lower,Val CI Upper,Test Accuracy,Test CI Lower,Test CI Upper
10,0.7989949748743719,0.7437185929648241,0.8493718592964823,0.8367346938775511,0.7650510204081632,0.9081632653061225
20,0.8241206030150754,0.7738693467336684,0.8793969849246231,0.9183673469387755,0.8571428571428571,0.9693877551020408
30,0.8241206030150754,0.7688442211055276,0.8743718592964824,0.8877551020408163,0.8163265306122449,0.9387755102040817
40,0.8391959798994975,0.7889447236180904,0.8845477386934673,0.8979591836734694,0.8367346938775511,0.9489795918367347
50,0.8391959798994975,0.7889447236180904,0.8845477386934673,0.8979591836734694,0.8367346938775511,0.9489795918367347
60,0.8291457286432161,0.7788944723618091,0.8844221105527639,0.8877551020408163,0.826530612244898,0.9489795918367347
70,0.8442211055276382,0.7889447236180904,0.8894472361809045,0.8877551020408163,0.826530612244898,0.9489795918367347
80,0.8442211055276382,0.7939698492462312,0.8944723618090452,0.8979591836734694,0.8367346938775511,0.9591836734693877
90,0.8391959798994975,0.7889447236180904,0.8894472361809045,0.8571428571428571,0.7857142857142857,0.9183673469387755
100,0.8391959798994975,0.7889447236180904,0.8895728643216079,0.9081632653061225,0.8469387755102041,0.9591836734693877
110,0.8391959798994975,0.7889447236180904,0.8894472361809045,0.8979591836734694,0.8364795918367347,0.9591836734693877
120,0.8592964824120602,0.8140703517587939,0.9045226130653267,0.8979591836734694,0.8367346938775511,0.9489795918367347
130,0.8592964824120602,0.8140703517587939,0.90464824120603,0.8979591836734694,0.8367346938775511,0.9489795918367347
140,0.8492462311557789,0.7939698492462312,0.8994974874371859,0.8877551020408163,0.8163265306122449,0.9489795918367347
150,0.8492462311557789,0.7989949748743719,0.8945979899497486,0.8979591836734694,0.8367346938775511,0.9591836734693877
160,0.864321608040201,0.8140703517587939,0.9095477386934674,0.8979591836734694,0.826530612244898,0.9489795918367347
170,0.864321608040201,0.8140703517587939,0.9095477386934674,0.8877551020408163,0.826530612244898,0.9489795918367347
180,0.8442211055276382,0.7889447236180904,0.8944723618090452,0.8979591836734694,0.8367346938775511,0.9492346938775509
190,0.8391959798994975,0.7839195979899497,0.8844221105527639,0.8877551020408163,0.826530612244898,0.9489795918367347
200,0.8542713567839196,0.8040201005025126,0.8994974874371859,0.9081632653061225,0.8469387755102041,0.9591836734693877
210,0.8391959798994975,0.7888190954773869,0.8894472361809045,0.8979591836734694,0.8367346938775511,0.9489795918367347
220,0.8442211055276382,0.7939698492462312,0.8944723618090452,0.9081632653061225,0.8469387755102041,0.9591836734693877

multirc_sae
Batch,Val Accuracy,Val F1,Val CI Lower,Val CI Upper,Test Accuracy,Test F1,Test CI Lower,Test CI Upper
10,0.5952380952380952,0.5927456435447636,0.5374149659863946,0.6530612244897959,0.5961538461538461,0.5960044395116537,0.46153846153846156,0.7307692307692307
20,0.5272108843537415,0.5178337561205829,0.46938775510204084,0.5850340136054422,0.4423076923076923,0.42508577964163174,0.3076923076923077,0.5769230769230769
30,0.6190476190476191,0.6138836772983114,0.5612244897959183,0.673469387755102,0.5961538461538461,0.5960044395116537,0.46153846153846156,0.7307692307692307
40,0.5680272108843537,0.5676220253604307,0.5102040816326531,0.6258503401360545,0.5192307692307693,0.5147443075774543,0.38461538461538464,0.6538461538461539
50,0.608843537414966,0.603852507996766,0.5510204081632653,0.6632653061224489,0.6153846153846154,0.6153846153846154,0.4807692307692308,0.75
60,0.5306122448979592,0.5269123134328358,0.47278911564625853,0.5850340136054422,0.46153846153846156,0.4484848484848485,0.34615384615384615,0.5961538461538461
70,0.6360544217687075,0.620782351877524,0.5816326530612245,0.6904761904761905,0.5961538461538461,0.5960044395116537,0.46153846153846156,0.7115384615384616
80,0.6054421768707483,0.6018306636155606,0.54421768707483,0.6598639455782312,0.5769230769230769,0.5762962962962963,0.4423076923076923,0.7115384615384616
90,0.608843537414966,0.603852507996766,0.5544217687074829,0.6666666666666666,0.5961538461538461,0.5960044395116537,0.46153846153846156,0.7307692307692307
100,0.6326530612244898,0.6188235294117647,0.5782312925170068,0.6870748299319728,0.6153846153846154,0.6153846153846154,0.5,0.75
110,0.5340136054421769,0.5280677703961475,0.47619047619047616,0.5851190476190475,0.4230769230769231,0.4009216589861751,0.28846153846153844,0.5576923076923077
120,0.6360544217687075,0.6135143436329012,0.5816326530612245,0.6870748299319728,0.6153846153846154,0.606060606060606,0.4807692307692308,0.75
130,0.5680272108843537,0.566899815568779,0.5102040816326531,0.6258503401360545,0.46153846153846156,0.4484848484848485,0.3269230769230769,0.5961538461538461
140,0.6564625850340136,0.6458042583646448,0.6020408163265306,0.7074829931972789,0.5961538461538461,0.5948051948051948,0.46153846153846156,0.7307692307692307
150,0.5748299319727891,0.5747856572598841,0.5170068027210885,0.6293367346938775,0.4807692307692308,0.4711864406779661,0.34615384615384615,0.6153846153846154
160,0.6428571428571429,0.6342893698688559,0.5884353741496599,0.7006802721088435,0.6153846153846154,0.6148148148148148,0.4807692307692308,0.75
170,0.5782312925170068,0.5782117734172528,0.5238095238095238,0.6360544217687075,0.4807692307692308,0.4711864406779661,0.34615384615384615,0.6153846153846154
180,0.5850340136054422,0.5849571858366119,0.5305272108843537,0.6428571428571429,0.5,0.4932533733133433,0.36538461538461536,0.6346153846153846
190,0.6258503401360545,0.6224256292906178,0.5714285714285714,0.6802721088435374,0.5576923076923077,0.557528671846097,0.4230769230769231,0.6923076923076923
200,0.5816326530612245,0.5812402292860865,0.5272108843537415,0.6394557823129252,0.5,0.4932533733133433,0.36538461538461536,0.6346153846153846
210,0.6462585034013606,0.6402484939759037,0.5952380952380952,0.7006802721088435,0.5769230769230769,0.5744047619047619,0.4423076923076923,0.6923076923076923

multirc_aave
Batch,Val Accuracy,Val F1,Val CI Lower,Val CI Upper,Test Accuracy,Test F1,Test CI Lower,Test CI Upper
10,0.6632653061224489,0.6627932572554017,0.6053571428571428,0.717687074829932,0.5192307692307693,0.4967092528068138,0.38461538461538464,0.6538461538461539
20,0.6224489795918368,0.6163729765949193,0.5680272108843537,0.6768707482993197,0.4423076923076923,0.43710339678984694,0.3076923076923077,0.5769230769230769
30,0.6598639455782312,0.6598009719972229,0.6054421768707483,0.7108843537414966,0.5769230769230769,0.553125,0.4423076923076923,0.7115384615384616
40,0.6496598639455783,0.6495585052828923,0.5952380952380952,0.7040816326530612,0.5,0.4878787878787879,0.36538461538461536,0.6346153846153846
50,0.6598639455782312,0.6598482043687524,0.6054421768707483,0.7142857142857143,0.5769230769230769,0.5438596491228069,0.4423076923076923,0.7115384615384616
60,0.6292517006802721,0.6285253920966303,0.5748299319727891,0.6802721088435374,0.5,0.4878787878787879,0.36538461538461536,0.6346153846153846
70,0.6428571428571429,0.6419250443678881,0.5850340136054422,0.6904761904761905,0.4807692307692308,0.4711864406779661,0.34615384615384615,0.6346153846153846
80,0.6632653061224489,0.6632302405498282,0.6122448979591837,0.717687074829932,0.5961538461538461,0.5692307692307692,0.46153846153846156,0.7307692307692307
90,0.6360544217687075,0.6329588014981273,0.5816326530612245,0.6904761904761905,0.4230769230769231,0.4222222222222222,0.28846153846153844,0.5576923076923077
100,0.6564625850340136,0.6564268110659863,0.608843537414966,0.7142857142857143,0.5769230769230769,0.553125,0.44182692307692306,0.7115384615384616
110,0.6462585034013606,0.6458487768717569,0.5918367346938775,0.7006802721088435,0.46153846153846156,0.45833333333333337,0.3269230769230769,0.5961538461538461
120,0.6496598639455783,0.649655810724822,0.5918367346938775,0.7040816326530612,0.5384615384615384,0.5207373271889401,0.40384615384615385,0.6730769230769231
130,0.6326530612244898,0.6318181818181818,0.5748299319727891,0.6870748299319728,0.4230769230769231,0.4222222222222222,0.28846153846153844,0.5576923076923077
140,0.6496598639455783,0.6494611457742484,0.5986394557823129,0.7006802721088435,0.5576923076923077,0.5369725125822686,0.40384615384615385,0.6923076923076923
150,0.6326530612244898,0.6320400500625782,0.5748299319727891,0.6836734693877551,0.5,0.4932533733133433,0.36538461538461536,0.6346153846153846
160,0.6462585034013606,0.6461111111111111,0.5918367346938775,0.7040816326530612,0.5384615384615384,0.5207373271889401,0.40384615384615385,0.6730769230769231
