Batch,Validation Results,Test Results
boolQ_sae,,
60,0.645,0.62
120,0.645,0.62
180,0.645,0.62
boolQ_aave,,
60,0.5824742268041238,0.5816326530612245
120,0.5773195876288659,0.5816326530612245
180,0.5773195876288659,0.5816326530612245
sst2_sae,,
60,0.58,0.52
120,0.595,0.54
180,0.58,0.53
sst2_aave,,
60,0.5527638190954773,0.5918367346938775
120,0.5326633165829145,0.5510204081632653
180,0.5577889447236181,0.5204081632653061
multirc_sae,,
60,0.6292517006802721,0.5961538461538461
120,0.5884353741496599,0.5961538461538461
180,0.5952380952380952,0.5961538461538461
multirc_aave,,
60,0.6360544217687075,0.6346153846153846
120,0.6496598639455783,0.5961538461538461
180,0.6768707482993197,0.6538461538461539
copa_sae,,
60,0.51,0.54
120,0.485,0.54
180,0.505,0.57
copa_aave,,
60,0.51,0.42
120,0.495,0.41
180,0.495,0.43
